ImageId,Label
0,6
1,9
2,3
3,1
4,9
5,4
6,1
7,6
8,6
9,1
10,9
11,9
12,6
13,9
14,9
15,6
16,1
17,1
18,9
19,9
20,9
21,6
22,3
23,1
24,9
25,1
26,8
27,3
28,8
29,1
30,8
31,1
32,6
33,9
34,6
35,6
36,6
37,6
38,6
39,9
40,9
41,9
42,6
43,8
44,9
45,1
46,9
47,9
48,9
49,9
50,1
51,9
52,9
53,6
54,9
55,1
56,9
57,8
58,9
59,6
60,6
61,1
62,6
63,9
64,0
65,9
66,6
67,1
68,9
69,9
70,6
71,3
72,1
73,1
74,0
75,6
76,6
77,9
78,0
79,9
80,8
81,6
82,8
83,8
84,8
85,9
86,8
87,6
88,1
89,1
90,9
91,6
92,0
93,1
94,9
95,9
96,6
97,9
98,6
99,1
100,9
101,3
102,6
103,8
104,8
105,9
106,8
107,9
108,8
109,6
110,6
111,3
112,3
113,9
114,1
115,8
116,9
117,9
118,3
119,9
120,0
121,6
122,2
123,1
124,1
125,1
126,9
127,7
128,6
129,0
130,1
131,6
132,6
133,8
134,9
135,1
136,3
137,6
138,6
139,6
140,1
141,8
142,1
143,1
144,1
145,9
146,9
147,9
148,0
149,9
150,6
151,8
152,6
153,0
154,1
155,9
156,9
157,3
158,1
159,9
160,9
161,6
162,0
163,0
164,9
165,3
166,0
167,0
168,9
169,8
170,3
171,6
172,9
173,9
174,9
175,7
176,1
177,1
178,9
179,2
180,0
181,9
182,6
183,7
184,6
185,6
186,1
187,1
188,9
189,6
190,1
191,1
192,9
193,1
194,6
195,6
196,8
197,1
198,9
199,8
200,0
201,2
202,9
203,1
204,9
205,8
206,8
207,1
208,3
209,0
210,1
211,1
212,0
213,8
214,9
215,1
216,6
217,8
218,1
219,1
220,9
221,1
222,8
223,9
224,1
225,9
226,9
227,6
228,6
229,1
230,9
231,8
232,8
233,3
234,1
235,1
236,8
237,3
238,1
239,8
240,1
241,9
242,9
243,9
244,1
245,9
246,1
247,6
248,9
249,0
250,1
251,1
252,9
253,8
254,6
255,6
256,9
257,4
258,1
259,8
260,8
261,8
262,3
